threat_id,threat_name,threat_category,likelihood,impact,overall_risk,geographic_region,affected_assets,mitigation_status,last_assessment,analyst_notes
THR-001,Advanced Persistent Threat Group Alpha,Cyber,High,Critical,Critical,Global,DoD Networks,Active Monitoring,2024-01-28,APT group with nation-state backing. Recent uptick in reconnaissance activity against defense industrial base. CISA alert 2024-01 references this actor.
THR-002,Supply Chain Compromise Vector,Cyber,Medium,High,High,CONUS,Weapons Systems Software,Remediation In Progress,2024-01-27,Third-party software component identified with backdoor capability. Affects 12 programs of record. Coordinating with DCSA for remediation.
THR-003,Unmanned Systems Interference,Electronic Warfare,Medium,High,High,CENTCOM AOR,UAV Fleet,Countermeasures Deployed,2024-01-26,GPS spoofing and jamming incidents increasing 23% month-over-month. New waveform countermeasures in testing.
THR-004,Insider Threat Indicators,Personnel Security,Low,Critical,Medium,All Locations,Classified Information,Enhanced Monitoring,2024-01-28,No specific threat identified. Heightened vigilance due to recent IC-wide incidents. Additional CI awareness training scheduled.
THR-005,Critical Infrastructure Targeting,Physical/Cyber,Low,Critical,Medium,EUCOM AOR,Power Grid Infrastructure,Partner Coordination,2024-01-25,Adversary reconnaissance of NATO infrastructure observed. Coordinating with host nation partners on defensive measures.
THR-006,Social Engineering Campaign,Cyber/HUMINT,High,Medium,High,Global,Personnel Email,User Awareness Campaign,2024-01-28,Spear-phishing campaign targeting DoD contractors. CACI-specific lures observed. Mandatory training pushed to all staff.
THR-007,SIGINT Collection Threat,Technical Surveillance,Medium,Medium,Medium,Deployed Locations,Communications,COMSEC Review,2024-01-24,Adversary SIGINT capabilities assessed as improving. Reviewed encryption protocols and updated COMSEC procedures.
THR-008,Disinformation Operations,Information Warfare,High,Medium,High,EUCOM/INDOPACOM,Public Perception,Counter-Messaging,2024-01-28,Active disinformation narratives detected targeting allied populations. Coordinating with DoS GEC on response.
THR-009,Weapons Proliferation Network,WMD,Low,Critical,Medium,Middle East,Non-Proliferation Efforts,Intelligence Collection,2024-01-23,New procurement network identified. Tracking 3 new facilitation nodes. Shared with interagency partners.
THR-010,Terrorist Financing Flow,CT/Counterfinance,Medium,High,High,Global,Treasury Sanctions,Financial Intelligence,2024-01-27,Identified new cryptocurrency mixing services being used to evade sanctions. Coordinating with FinCEN and FBI.
